id,genbank,assembly_genbank,taxid,Kingdom,Phylum,Class,Order ,Family,Genus,Species,species_code,genus_code
MMP06046392,CP018799,GCA_002795805.1,1921086,Bacteria,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus aestuarium,380,248
MMP06046393,CP018800,GCA_002795825.1,1921087,Bacteria,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrinatatus,381,248
MMP09780818,CP031964,GCA_003443635.1,1871037,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,AU392,AU392 sp003443635,2,2
MMP02604308,CP000828,GCA_000018105.1,329726,Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Thermosynechococcaceae,Acaryochloris,Acaryochloris marina,3,3
MMP02598523,CP001941.1,GCA_000025665.1,439481,Archaea,Thermoplasmatota,Thermoplasmata,Aciduliprofundales,Aciduliprofundaceae,Aciduliprofundum,Aciduliprofundum boonei,4,4
MMP02261429,CP003168.1,GCA_000327505.1,673860,Archaea,Thermoplasmatota,Thermoplasmata,Aciduliprofundales,Aciduliprofundaceae,Aciduliprofundum,Aciduliprofundum sp000327505,5,4
MMP02598452,CP000471,GCA_000014865.1,156889,Bacteria,Proteobacteria,Magnetococcia,Magnetococcales,Magnetococcaceae,Magnetococcus,Magnetococcus marinus,345,231
MMP2826832,LN906597,GCA_001460935.1,1561003,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,2013Ark19i,2013Ark19i,2013Ark19i sp001460935,0,0
MMP06351224,CP019936,GCA_002009425.1,1978339,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,41T-STBD-0c-01a,41T-STBD-0c-01a sp002009425,1,1
MMP12228392,CP041365,GCA_006965565.1,202954,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter junii_A,6,5
MMP08364581,CP025990,GCA_002895405.1,2072503,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Actinoalloteichus,Actinoalloteichus cyanogriseus,10,7
MMP03339751,CP016077,GCA_001941645.1,1612551,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Actinoalloteichus,Actinoalloteichus fjordicus,11,7
MMP03339750,CP016076,GCA_001941625.1,1612552,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Actinoalloteichus,Actinoalloteichus fjordicus,11,7
MMP03295676,CP014859,GCA_001747425.1,340345,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Actinoalloteichus,Actinoalloteichus hymeniacidonis,12,7
MMP08624593,CP027482,GCA_003443875.1,2107713,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Aeromicrobium,Aeromicrobium sp003443875,13,8
MMP12418644,CP042994,GCA_008086325.1,106654,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter nosocomialis,7,5
MMP02471758,ALIG01000000,GCA_000308235.2,1197884,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter venetianus,8,5
MMP07276874,CP022181,GCA_002214305.1,645,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida,14,9
MMP07276873,CP022186,GCA_002214265.1,645,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida,14,9
MMP00061006,AP012489.1,GCA_000591035.1,1198449,Archaea,Thermoproteota,Thermoproteia,Sulfolobales,Acidilobaceae,Aeropyrum,Aeropyrum camini,15,10
MMP00061092,BA000002.3,GCA_000011125.1,272557,Archaea,Thermoproteota,Thermoproteia,Sulfolobales,Acidilobaceae,Aeropyrum,Aeropyrum pernix,16,10
MMP07276469,CP022175,GCA_002214245.1,645,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida,14,9
MMP02603664,CP000644,GCA_000196395.1,382245,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida,14,9
MMP04489720,LT629695,GCA_900099705.1,399736,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Agrococcus,Agrococcus jejuensis,19,13
MMP06187574,CP020038,GCA_002157225.2,1737490,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Agarilytica,Agarilytica rhodophyticola,17,11
MMP04215004,CP013021,GCA_001420915.1,680279,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Celerinatantimonadaceae,Agarivorans,Agarivorans gilvus,18,12
MMP10101723,CP032521,GCA_003716855.1,511,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Alcaligenes,Alcaligenes aquatilis,20,14
MMP09984971,CP032153,GCA_003671915.1,323284,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Alcaligenes,Alcaligenes aquatilis,20,14
MMP3138202,AM286690,GCA_000009365.1,393595,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Alcanivoracaceae,Alcanivorax,Alcanivorax borkumensis,21,15
MMP02603961,CP003466.1,GCA_000300005.1,930169,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Alcanivoracaceae,Alcanivorax,Alcanivorax dieselolei,22,15
MMP04156175,CP012898,GCA_001310225.1,1736674,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Algibacter,Algibacter_A alginicilyticus,25,17
MMP12228411,CP041386,GCA_007005625.1,28197,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Aliarcobacter,Aliarcobacter butzleri,26,18
MMP03737951,CP032097,GCA_003544915.1,913109,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Aliarcobacter,Aliarcobacter ellisii,27,18
MMP10884416,CP035928,GCA_004214795.1,1080223,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Aliarcobacter,Aliarcobacter pacificus,28,18
MMP10954009,CP036265,GCA_007743815.1,2527989,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Planctomycetaceae,Alienimonas,Alienimonas californiensis,29,19
MMP03965495,CP012331,GCA_002072815.1,1094342,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Alcanivoracaceae,Alcanivorax,Alcanivorax xenomutans,23,15
MMP02471159,CP004387.1,GCA_000299335.2,391936,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Alcanivoracaceae,Alcanivorax,Alcanivorax_A pacificus,24,16
MMP02604303,CP000020,GCA_000011805.1,312309,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Aliivibrio,Aliivibrio fischeri,30,20
MMP02603627,CP001133,GCA_000020845.1,388396,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Aliivibrio,Aliivibrio fischeri,30,20
MMP10496237,CP034240,GCA_003942025.1,40269,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Aliivibrio,Aliivibrio salmonicida_A,31,20
MMP1705917,FM178379,GCA_000196495.1,316275,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Aliivibrio,Aliivibrio salmonicida_A,31,20
MMP2735904,LN554846,GCA_000953695.1,80852,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Aliivibrio,Aliivibrio wodanis,32,20
MMP02604118,CP003845.1,GCA_000299995.1,1004785,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas abrolhosensis,39,25
MMP02743544,CP010912,GCA_000934525.1,589873,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas australica,40,25
