Grand Total,genus,Accuracy,Av_length,Av_GC,count,log_count,Expected_coverage
138,Moorea,0.333333333,9546711,46.96,2,0.301029996,0.206166731
1,Haliangium,1,9446315,41.645,1,0,0.208105299
781,Amycolatopsis,0.112676056,9121443,40.01333333,1,0,0.214520444
13,Myxococcus,0.307692308,9003594,70.1475,1,0,0.216887303
125,Rivularia,0.272,8728774,67.61,2,0.301029996,0.250759741
206,Acaryochloris,0.5,8361600,58.27,1,0,0.453434564
37,Nocardia,0.243243243,8213126,56.52,2,0.301029996,0.234720768
81,Roseimaritima,0.061728395,8212515,40.97,1,0,0.233963408
4986,Gimesia,0.572803851,7922870,45.96,9,0.954242509,0.242501218
7,Granulosicoccus,0,7783862,72.63,1,0,0.244726718
641,Trichodesmium,0.148205928,7750109,56.03,1,0,0.246629079
5201,Streptomyces,0.714093444,7703713,58.958,15,1.176091259,0.273927583
2017,Desulfosarcina,0.176995538,7477478,31.8,2,0.301029996,0.254898587
74,Sinorhizobium,0.418918919,7330060,70.74,1,0,0.603749901
62,Flammeovirga,0.274193548,7327615,38.564,1,0,0.445237154
31,Crateriforma,0.193548387,7182433,62.37375,1,0,0.263925887
773,Hahella,0.357050453,7037818,44.61677419,3,0.477121255,0.267782039
89,Fibrella,0.280898876,6937264,70.7,1,0,0.293035308
310,Actinoalloteichus,0.222580645,6881345,38.95,4,0.602059991,0.277551969
61,Agarilytica,0.016393443,6878829,57.87,1,0,0.272840624
2321,Micromonospora,0.511417492,6864636,35.88,10,1,0.278998867
776,Nocardiopsis,0.103092784,6585442,40.315,1,0,0.283263642
171,Mariniblastus,0.140350877,6570840,39.39,1,0,0.284646255
26,Bradymonas,0.269230769,6546495,32.47666667,1,0,0.352038168
284,Tistrella,0.591549296,6512984,49.97,1,0,0.623377184
2,Oleiphilus,0,6379281,46.4275,1,0,0.292327145
7,Euzebya,0.142857143,6371455,37.2,1,0,0.374190511
938,Janthinobacterium,0.253731343,6314370,62.79,1,0,0.293838657
198,Cyclobacterium,0.191919192,6190052,40.09192308,2,0.301029996,0.299442161
121,Methylocaldum,0.099173554,6088916,53.42,1,0,0.301318987
218,Rhodococcus,0.399082569,6023259,50.65,6,0.77815125,0.344132847
188,Aquiflexum,0.154255319,5987195,36.81,1,0,0.305080259
66,Echinicola,0.212121212,5974904,62.475,3,0.477121255,0.307937123
5,Pseudorhodoplanes,0.4,5971615,64.31,1,0,0.310768025
152,Pseudovibrio,0.217105263,5916783,57.2,1,0,0.380250785
59,Aquimarina,0.152542373,5853562,45.1,3,0.477121255,0.313266111
18,Streptomonospora,0,5814190,28.83333333,1,0,0.328470174
448,Mycobacterium,0.435267857,5810142,34.795,6,0.77815125,0.353617771
3525,Paenibacillus,0.221276596,5756952,41.02,6,0.77815125,0.348638643
371,Maricaulis,0.15902965,5718991,61.172,1,0,0.478850504
10,Flavivirga,0,5665358,33.22666667,1,0,0.320732776
48,Desulfobacterium,0.25,5657783,57.37,1,0,0.334176891
14,Dolichospermum,0.071428571,5642022,34.8,1,0,0.397095935
10850,Photobacterium,0.328847926,5525910,50.96,4,0.602059991,0.571279942
27,Kordia,0.37037037,5482391,45.04,1,0,0.331487302
18,Alienimonas,0.388888889,5475215,63.925,1,0,0.32992403
494,Klebsiella,0.21659919,5464719,63.91,1,0,0.365818627
193,Nodularia,0.461139896,5424442,51.95,2,0.301029996,0.345007856
8784,Paraglaciecola,0.115095628,5413692,27.43,3,0.477121255,0.366622774
790,Novosphingobium,0.496202532,5385743,55.51,2,0.301029996,0.563493903
94,Arcticibacterium,0.159574468,5379839,38.2375,1,0,0.336506353
4,Indioceanicola,0.5,5374982,53.6,1,0,0.627770846
7383,Catenovulum,0.309901124,5369566,64.552,1,0,0.498982848
81,Stella,0.111111111,5339096,57.77,1,0,0.336339148
19,Mesorhizobium,0.263157895,5324562,33.9,1,0,0.365521214
107,Marinovum,0.448598131,5252391,62.61,1,0,0.609522713
2747,Serratia,0.412449945,5239663,38.23,2,0.301029996,0.348828099
1,Desulfobacula,0,5197906,42.02666667,1,0,0.343717517
1974,Pseudomonas,0.519250253,5196816,30.31,19,1.278753601,0.35320016
32,Teredinibacter,0.03125,5193165,64.01,1,0,0.346037984
600,Marinobacterium,0.34,5191609,42.54,1,0,0.346929536
17,Desulfobacter,0.294117647,5157696,46.53,1,0,0.353544102
84,Draconibacterium,0.202380952,5132076,48.76,1,0,0.34756351
6,Zunongwangia,0,5128188,41.45,1,0,0.348671763
107,Paraphotobacterium,0.570093458,5127346,45.38,1,0,0.813710682
3,Hoeflea,0.333333333,5119814,56.83,1,0,0.404575519
704,Escherichia,0.311079545,5119458,59.31,3,0.477121255,0.372091268
874,Cohaesibacter,0.104118993,5110332,55.255,1,0,0.349720918
80,Lysobacter,0.2875,5074783,46.63,2,0.301029996,0.362241605
72,Thalassospira,0.444444444,5070007,42.28,2,0.301029996,0.440368013
5,Saccharophagus,0,5057532,34.95,1,0,0.351927057
18,Methylomonas,0.166666667,5051682,61.93,1,0,0.352314012
13855,Shewanella,0.596463371,5047412,65.52,34,1.531478917,0.370563118
523,Aeromonas,0.747609943,5018533,37.632,4,0.602059991,0.42229695
8606,Thiocystis,0.268765977,5017072,38.16,1,0,0.356376858
25151,Vibrio,0.943819331,5015195,41.31,114,2.056904851,0.576640159
3,Caldithrix,0,4978542,44.34333333,1,0,0.356694461
147,Pontibacter,0.265306122,4974797,58.75,1,0,0.39381828
2042,Salinigranum,0.430950049,4973118,53.085,1,0,0.491288564
84,Rhodoferax,0.142857143,4969785,55.51,1,0,0.406019859
261,Citrobacter,0.076628352,4946572,37.22,1,0,0.377478383
195,Hydrogenophaga,0.153846154,4944133,59.07,1,0,0.359159909
4837,Methanosarcina,0.63779202,4877270,36.62,5,0.698970004,0.358417119
3415,Parashewanella,0.225768668,4845470,62.03,2,0.301029996,0.369602914
11,Saccharopolyspora,0.272727273,4832009,50.66333333,1,0,0.364952135
17,Ilumatobacter,0.117647059,4830182,70.58,1,0,0.36428904
62,Chromobacterium,0.580645161,4804230,40.15,2,0.301029996,0.377422088
3342,Roseovarius,0.397666068,4770209,52.07,5,0.698970004,0.452798569
6,Glaciecola,0,4763911,60.22,1,0,0.411548804
